2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:29,399 - INFO - WARNING - Geo queue full, skipping IP: 10.226.55.9
2025-09-03 12:51:29,400 - INFO - WARNING - Geo queue full, skipping IP: 104.21.23.142
2025-09-03 12:51:29,401 - INFO - WARNING - Geo queue full, skipping IP: 4.213.25.240
2025-09-03 12:51:29,401 - INFO - WARNING - Geo queue full, skipping IP: 52.223.2.229
2025-09-03 12:51:29,401 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.162
2025-09-03 12:51:29,403 - INFO - WARNING - Geo queue full, skipping IP: 182.161.73.136
2025-09-03 12:51:29,403 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.98
2025-09-03 12:51:29,404 - INFO - WARNING - Geo queue full, skipping IP: 35.212.27.211
2025-09-03 12:51:29,404 - INFO - WARNING - Geo queue full, skipping IP: 15.197.196.10
2025-09-03 12:51:29,406 - INFO - WARNING - Geo queue full, skipping IP: 192.178.134.94
2025-09-03 12:51:29,407 - INFO - WARNING - Geo queue full, skipping IP: 34.107.140.113
2025-09-03 12:51:29,407 - INFO - WARNING - Geo queue full, skipping IP: 34.107.165.188
2025-09-03 12:51:29,408 - INFO - WARNING - Geo queue full, skipping IP: 104.18.26.216
2025-09-03 12:51:29,408 - INFO - WARNING - Geo queue full, skipping IP: 10.226.0.11
2025-09-03 12:51:29,409 - INFO - WARNING - Geo queue full, skipping IP: 104.18.31.80
2025-09-03 12:51:29,410 - INFO - WARNING - Geo queue full, skipping IP: 35.71.178.8
2025-09-03 12:51:29,410 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.225
2025-09-03 12:51:29,411 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.82
2025-09-03 12:51:29,412 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:29,412 - INFO - WARNING - Geo queue full, skipping IP: 142.250.183.226
2025-09-03 12:51:29,412 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.92
2025-09-03 12:51:29,413 - INFO - WARNING - Geo queue full, skipping IP: 13.224.254.89
2025-09-03 12:51:29,414 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.10
2025-09-03 12:51:29,414 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.110
2025-09-03 12:51:29,414 - INFO - WARNING - Geo queue full, skipping IP: 172.217.27.168
2025-09-03 12:51:29,414 - INFO - WARNING - Geo queue full, skipping IP: 23.63.111.43
2025-09-03 12:51:29,416 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.42
2025-09-03 12:51:29,416 - INFO - WARNING - Geo queue full, skipping IP: 34.117.59.81
2025-09-03 12:51:29,419 - INFO - WARNING - Geo queue full, skipping IP: 20.189.173.5
2025-09-03 12:51:29,420 - INFO - WARNING - Geo queue full, skipping IP: 193.0.6.151
2025-09-03 12:51:29,421 - INFO - WARNING - Geo queue full, skipping IP: 40.104.68.114
2025-09-03 12:51:29,421 - INFO - WARNING - Geo queue full, skipping IP: 199.71.0.160
2025-09-03 12:51:29,422 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.106
2025-09-03 12:51:29,423 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.34
2025-09-03 12:51:29,423 - INFO - WARNING - Geo queue full, skipping IP: 198.8.71.131
2025-09-03 12:51:29,424 - INFO - WARNING - Geo queue full, skipping IP: 34.36.214.49
2025-09-03 12:51:29,424 - INFO - WARNING - Geo queue full, skipping IP: 54.169.90.152
2025-09-03 12:51:29,425 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.227
2025-09-03 12:51:29,426 - INFO - WARNING - Geo queue full, skipping IP: 216.58.200.206
2025-09-03 12:51:29,427 - INFO - WARNING - Geo queue full, skipping IP: 34.111.152.239
2025-09-03 12:51:29,427 - INFO - WARNING - Geo queue full, skipping IP: 35.213.183.23
2025-09-03 12:51:29,427 - INFO - WARNING - Geo queue full, skipping IP: 34.96.70.87
2025-09-03 12:51:29,428 - INFO - WARNING - Geo queue full, skipping IP: 172.66.1.242
2025-09-03 12:51:29,428 - INFO - WARNING - Geo queue full, skipping IP: 104.18.27.193
2025-09-03 12:51:29,429 - INFO - WARNING - Geo queue full, skipping IP: 104.17.198.65
2025-09-03 12:51:29,429 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
2025-09-03 12:51:29,431 - INFO - WARNING - Geo queue full, skipping IP: 142.250.29.94
2025-09-03 12:51:29,431 - INFO - WARNING - Geo queue full, skipping IP: 152.228.215.159
2025-09-03 12:51:29,432 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.14
2025-09-03 12:51:29,433 - INFO - WARNING - Geo queue full, skipping IP: 34.36.216.150
2025-09-03 12:51:29,433 - INFO - WARNING - Geo queue full, skipping IP: 104.20.23.13
2025-09-03 12:51:29,433 - INFO - WARNING - Geo queue full, skipping IP: 185.184.8.90
2025-09-03 12:51:29,434 - INFO - WARNING - Geo queue full, skipping IP: 104.18.21.206
2025-09-03 12:51:29,435 - INFO - WARNING - Geo queue full, skipping IP: 13.227.228.149
2025-09-03 12:51:29,435 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.10
2025-09-03 12:51:29,435 - INFO - WARNING - Geo queue full, skipping IP: 64.120.31.5
2025-09-03 12:51:29,437 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.64
2025-09-03 12:51:29,437 - INFO - WARNING - Geo queue full, skipping IP: 15.197.193.217
2025-09-03 12:51:29,438 - INFO - WARNING - Geo queue full, skipping IP: 34.160.128.112
2025-09-03 12:51:29,438 - INFO - WARNING - Geo queue full, skipping IP: 104.18.12.250
2025-09-03 12:51:29,439 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.161
2025-09-03 12:51:29,439 - INFO - WARNING - Geo queue full, skipping IP: 13.225.5.41
2025-09-03 12:51:29,440 - INFO - WARNING - Geo queue full, skipping IP: 18.67.195.10
2025-09-03 12:51:29,440 - INFO - WARNING - Geo queue full, skipping IP: 18.172.78.78
2025-09-03 12:51:29,441 - INFO - WARNING - Geo queue full, skipping IP: 35.190.80.1
2025-09-03 12:51:29,442 - INFO - WARNING - Geo queue full, skipping IP: 10.226.50.106
2025-09-03 12:51:29,442 - INFO - WARNING - Geo queue full, skipping IP: 140.82.112.26
2025-09-03 12:51:29,443 - INFO - WARNING - Geo queue full, skipping IP: 162.159.192.1
2025-09-03 12:51:29,443 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.161
2025-09-03 12:51:29,444 - INFO - WARNING - Geo queue full, skipping IP: 172.217.24.74
2025-09-03 12:51:29,445 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.130
2025-09-03 12:51:29,445 - INFO - WARNING - Geo queue full, skipping IP: 34.160.152.31
2025-09-03 12:51:29,446 - INFO - WARNING - Geo queue full, skipping IP: 142.250.76.67
